section,label,value,explanation
GAME ANALYSIS,EV on Rabbitohs (HOME),(0.737 x 1.28) - 1 = -5.7%,"Negative EV. Market had Rabbitohs shorter than model."
GAME ANALYSIS,EV on Dragons (AWAY),(0.263 x 3.70) - 1 = -2.6%,"Also negative. No edge on either side."
GAME ANALYSIS,Signal fired?,NO — both sides negative EV,"This game is excluded from positive EV count. The market was efficient here."
GAME ANALYSIS,Result,Rabbitohs won 30-12,"Irrelevant — there was no signal to evaluate."

,,,"--- SCORECARD ---"

SCORECARD,Total games,8,
SCORECARD,Games with positive EV (either side),7,"Rabbitohs/Dragons excluded — both sides negative"
SCORECARD,Games clearing 20% threshold,1,Eels only
SCORECARD,Result on 20%+ signals,1/1 — 100%,
SCORECARD,Result on all positive EV signals (7 games),5/7 — 71%,
SCORECARD,Result on all 8 games,5/8 — 62%,

,,,"--- WHAT THIS TELLS US ---"

INSIGHT,Insight 1,The filter works as designed,"The one game that cleared 20% EV won. The two biggest losses (Cowboys blowout) did not clear the threshold — the model was uncertain enough that the filter correctly kept them out."
INSIGHT,Insight 2,EV and picking winners are different things,"The Eels signal is the clearest example. Model expected Bulldogs to win. EV logic said bet Eels. Eels won. The edge came from reading the market's overconfidence — not from predicting the outright winner."
INSIGHT,Insight 3,71% on positive EV is a strong sample result,"One round is not statistically meaningful. But 71% on the right side of positive EV games is the pattern we want to see persist. Track this across every round."
INSIGHT,Insight 4,Totals model showing consistent UNDER bias vs market,"Model priced 7 of 8 games below the bookmaker total line and won 5 of those UNDER signals. This needs more rounds to confirm but it is the most interesting structural finding so far."
INSIGHT,Insight 5,Handicap is the hardest market to beat,"4/8 on handicap cover. The closing line is the most efficient price in the market. Do not prioritise handicap signals over H2H or totals at this stage."
